trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
107,False,"{'a': 0.1, 'e': 0.2212228070565664}",30,1,44.753801411696216,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.1, 'e': 0.2181256877577745}",25,11,-9.444216611396065,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.1, 'e': 0.21507192812916565}",20,8,15.36626744431756,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.1, 'e': 0.21206092113535732}",25,14,-2.8583055386005665,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.1, 'e': 0.2090920682394623}",20,16,5.097968588086847,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.1, 'e': 0.20616477928410984}",25,12,14.278695862898179,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.1, 'e': 0.2032784723741323}",20,4,20.109217342911386,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.1, 'e': 0.20043257376089443}",25,14,1.8545574186461742,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.1, 'e': 0.1976265177282419}",30,18,11.528480742042841,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.1, 'e': 0.19485974648004653}",25,16,-7.731434759529451,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
117,False,"{'a': 0.1, 'e': 0.19213171002932586}",20,4,15.40219955053366,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.1, 'e': 0.1894418660889153}",25,13,10.46343997834987,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.1, 'e': 0.1867896799636705}",25,2,13.300244416104299,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.1, 'e': 0.1841746244441791}",20,12,2.600661938742948,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.1, 'e': 0.1815961797019606}",25,12,16.99855430173842,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.1, 'e': 0.17905383318613313}",30,8,-4.507907542246834,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.1, 'e': 0.17654707952152726}",25,11,-10.528928744932399,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
124,False,"{'a': 0.1, 'e': 0.17407542040822588}",30,7,-10.097753304095203,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.1, 'e': 0.17163836452251072}",20,2,-13.551686204979033,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.1, 'e': 0.16923542741919556}",20,9,21.88433615943952,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
